
Number
        Divorced/Separated,"4,500","3,600","5,400","6,000","7,200","6,900","7,500","7,300","9,900","8,900","9,700","10,200","10,000","11,400","11,900","12,000","9,200","11,600","15,100","12,500","12,200","11,400","11,600","15,500","14,100","14,700","16,200","17,300","19,700","17,400","18,300","15,000","15,600","17,100","14,000","13,900","14,700"
Males Aged 30-39 Years,"160,100","185,700","202,100","214,000","222,900","241,300","246,500","250,400","278,100","277,300","281,200","278,400","290,100","296,200","298,900","296,300","293,800","302,400","293,000","290,100","291,400","288,100","275,700","283,500","276,500","285,400","274,700","276,800","291,000","278,600","270,100","271,400","269,500","267,800","265,100","267,700","267,700"
        Single,"27,500","36,200","38,500","44,500","48,100","53,900","58,200","62,500","74,100","68,500","75,100","74,900","75,000","78,900","73,200","74,000","73,600","76,700","72,800","67,800","74,200","75,800","69,500","75,300","74,100","74,800","74,000","75,400","82,500","79,700","76,000","80,900","80,600","76,700","77,100","76,300","79,500"
        Married,"130,700","147,800","161,300","167,500","172,400","184,500","185,300","184,900","198,600","205,200","202,300","199,800","211,500","212,800","221,200","217,900","216,600","221,200","213,300","217,300","212,600","207,800","201,900","202,100","197,000","204,400","194,900","195,600","201,100","192,500","187,700","184,700","183,300","185,400","182,400","186,200","184,500"
        Widowed,400,300,600,300,300,600,600,600,"1,700",700,800,600,400,500,500,300,300,400,"1,100",700,300,200,200,300,300,200,200,200,200,100,100,100,0,100,100,100,200
        Divorced/Separated,"1,600","1,400","1,700","1,700","2,100","2,200","2,400","2,400","3,600","2,900","3,000","3,100","3,100","3,900","4,000","4,100","3,300","4,200","5,800","4,300","4,200","4,300","4,000","5,800","5,100","6,100","5,600","5,600","7,200","6,200","6,300","5,600","5,600","5,600","5,400","5,100","3,600"
Females Aged 30-39 Years,"158,800","186,000","205,200","218,700","228,700","238,100","251,300","250,800","267,700","271,200","278,200","283,900","293,000","298,100","305,600","301,100","304,800","302,400","298,500","307,700","310,800","308,900","300,300","309,500","305,900","308,600","307,600","317,900","318,900","310,200","305,300","302,700","297,200","303,900","293,700","302,400","301,500"
        Single,"21,300","29,200","32,300","34,500","36,300","38,400","41,100","40,100","48,400","47,500","49,300","50,200","49,300","52,000","54,000","50,400","52,800","49,500","51,400","50,900","51,500","57,900","53,100","57,200","58,200","57,600","60,500","61,600","66,800","64,300","63,600","67,800","66,800","63,900","64,300","67,000","65,200"
        Married,"132,100","152,200","166,900","177,500","184,500","192,400","203,000","202,800","209,900","215,600","220,300","224,600","235,100","236,900","242,100","241,200","244,600","244,400","236,700","247,000","250,200","242,700","238,200","241,500","237,400","241,300","235,900","243,500","238,600","233,900","229,100","225,100","219,800","227,700","220,400","226,000","224,000"
        Widowed,"2,400","2,400","2,400","2,400","2,700","2,600","2,100","3,000","3,100","2,000","2,000","2,000","1,700","1,800","1,600","1,500","1,500","1,100","1,200","1,600","1,100","1,200","1,300","1,100","1,400","1,000",700,"1,100","1,000",800,600,500,600,800,500,700,"1,300"
        Divorced/Separated,"2,900","2,200","3,600","4,300","5,100","4,700","5,100","4,900","6,300","6,000","6,700","7,100","6,900","7,500","7,900","7,900","5,900","7,400","9,300","8,200","7,900","7,100","7,600","9,600","8,900","8,700","10,600","11,700","12,500","11,200","12,000","9,400","10,100","11,500","8,600","8,800","11,100"
Total Aged 40-49 Years,"227,100","246,200","262,000","264,000","268,100","282,300","308,500","316,700","331,500","364,300","387,300","424,600","438,600","475,800","512,700","530,800","551,900","552,200","561,600","579,800","595,500","608,900","625,700","620,300","644,700","642,300","630,600","631,100","623,900","624,500","630,400","626,000","604,100","617,200","605,400","634,500","626,700"
        Single,"14,100","13,400","14,000","14,900","15,600","16,700","19,600","18,600","32,900","32,200","36,500","38,600","43,300","52,600","54,400","63,200","68,100","71,500","72,700","77,400","79,400","83,800","82,700","86,300","86,000","84,400","80,600","82,300","86,300","83,000","79,800","84,900","85,500","89,900","83,400","88,300","88,900"
        Married,"199,200","219,800","234,300","234,600","236,900","250,700","272,400","280,300","281,500","312,900","330,500","366,100","375,100","401,700","434,000","445,600","460,900","455,300","459,100","474,500","488,600","498,200","512,200","502,700","525,100","526,300","518,300","515,500","502,300","506,300","514,800","506,600","485,200","489,100","485,300","510,500","495,600"
        Widowed,"9,400","10,000","8,500","8,900","9,000","8,800","9,400","9,600","9,000","8,800","9,300","9,500","8,700","8,200","9,600","8,300","8,700","8,000","7,200","6,900","6,500","6,800","7,300","6,200","6,500","6,100","5,300","5,700","5,700","7,000","5,500","4,000","4,200","4,700","4,900","4,500","5,500"
        Divorced/Separated,"4,400","3,000","5,200","5,500","6,600","6,200","7,100","8,200","8,200","10,400","11,000","10,400","11,600","13,200","14,800","13,700","14,100","17,500","22,500","21,000","20,900","20,100","23,600","25,100","27,200","25,500","26,500","27,600","29,600","28,200","30,300","30,400","29,100","33,400","31,800","31,200","36,700"
Males Aged 40-49 Years,"114,300","120,900","128,800","130,400","129,100","140,000","154,900","155,800","167,500","178,400","192,200","214,500","221,300","239,200","259,400","267,600","275,400","275,600","281,800","292,400","299,200","306,900","315,500","312,600","321,200","316,000","313,500","312,600","307,800","303,900","305,900","303,300","291,400","298,000","288,600","306,000","302,700"
        Single,"8,300","7,900","7,600","7,700","7,700","8,800","10,400","9,200","16,700","14,400","17,300","18,900","20,700","24,700","26,800","31,700","31,300","34,000","36,100","38,700","40,000","43,300","44,300","43,900","44,700","43,100","42,800","42,600","43,800","40,300","38,900","41,100","40,400","42,200","39,200","40,700","43,600"
        Married,"103,200","111,000","118,900","120,100","118,300","128,200","141,000","143,000","146,100","159,500","170,200","191,100","195,900","209,500","226,000","230,600","238,500","235,000","236,000","246,300","252,000","256,400","263,200","257,700","264,900","263,100","261,400","259,500","252,100","252,500","255,900","251,300","240,100","243,700","237,500","254,000","245,100"
        Widowed,"1,200","1,300",800,"1,000",900,"1,100","1,300","1,000","1,800","1,000","1,300","1,700","1,400","1,300","1,800","1,300","1,400","1,100","1,400","1,200",800,"1,200","1,300","1,400","1,200","1,300",700,"1,000","1,100","1,100","1,000",900,900,700,"1,000",900,"1,300"
        Divorced/Separated,"1,500",800,"1,600","1,600","2,100","1,900","2,200","2,500","3,000","3,500","3,400","2,900","3,400","3,800","4,700","4,000","4,300","5,500","8,200","6,200","6,400","6,000","6,800","9,600","10,300","8,500","8,500","9,600","10,800","9,900","10,000","9,900","10,000","11,400","10,900","10,400","12,600"
Females Aged 40-49 Years,"112,800","125,300","133,200","133,500","138,900","142,300","153,600","160,900","164,000","185,900","195,000","210,100","217,300","236,500","253,400","263,100","276,400","276,700","279,900","287,400","296,300","302,000","310,200","307,700","323,600","326,300","317,100","318,500","316,200","320,700","324,500","322,700","312,700","319,200","316,900","328,400","324,000"
        Single,"5,700","5,500","6,500","7,200","7,800","7,900","9,200","9,300","16,200","17,800","19,200","19,700","22,600","28,000","27,500","31,600","36,800","37,400","36,600","38,600","39,400","40,500","38,400","42,400","41,300","41,300","37,800","39,700","42,500","42,700","40,900","43,800","45,100","47,600","44,200","47,600","45,300"
        Married,"95,900","108,900","115,500","114,600","118,600","122,500","131,400","137,300","135,300","153,300","160,300","175,000","179,300","192,200","207,900","215,000","222,400","220,400","223,200","228,200","236,700","241,800","249,000","245,000","260,100","263,200","256,900","256,000","250,200","253,700","258,900","255,200","245,100","245,400","247,800","256,400","250,500"
        Widowed,"8,200","8,700","7,700","7,900","8,100","7,700","8,100","8,600","7,200","7,800","8,000","7,800","7,200","6,900","7,800","7,000","7,300","6,900","5,800","5,700","5,700","5,600","6,000","4,800","5,300","4,800","4,500","4,800","4,600","5,900","4,500","3,100","3,400","4,000","3,900","3,600","4,200"
        Divorced/Separated,"2,900","2,200","3,600","3,800","4,400","4,300","4,900","5,700","5,300","6,900","7,600","7,600","8,200","9,400","10,100","9,600","9,900","12,000","14,300","14,800","14,500","14,100","16,800","15,500","16,800","17,000","17,900","18,100","18,800","18,300","20,300","20,500","19,200","22,100","20,900","20,800","24,100"
Total Aged 50-59 Years,"159,600","181,400","184,200","192,800","202,000","203,500","208,000","224,200","217,300","243,500","253,300","255,600","261,100","254,500","258,800","287,900","303,500","318,000","330,000","344,400","385,100","413,900","440,800","458,100","500,000","514,800","518,200","531,800","556,700","577,000","585,500","599,300","614,800","616,100","621,500","592,800","615,700"
        Single,"6,400","5,800","6,600","6,500","8,200","7,100","7,400","8,100","13,200","12,900","13,100","11,900","13,600","15,300","18,600","18,600","22,000","23,700","26,300","28,500","37,000","41,500","43,100","47,400","52,200","55,500","55,400","60,300","64,900","65,300","63,100","70,300","75,600","73,200","75,900","74,000","75,200"
        Married,"129,200","150,600","155,300","159,100","165,200","169,400","173,900","188,400","177,700","201,900","210,300","212,300","215,100","213,400","210,600","241,100","253,400","263,800","272,500","282,800","314,300","338,300","360,900","370,900","404,000","414,500","418,000","426,500","443,200","464,000","475,300","479,100","489,100","488,500","487,600","467,200","485,200"
        Widowed,"21,200","23,000","19,700","22,700","24,300","23,300","22,700","23,100","21,900","22,100","23,800","24,100","25,700","18,400","21,300","19,900","20,100","20,500","17,700","18,900","18,900","17,900","20,200","18,700","20,200","20,200","17,700","19,000","18,600","17,900","15,800","18,400","17,000","17,600","19,600","15,300","14,800"
        Divorced/Separated,"2,800","2,000","2,600","4,500","4,300","3,800","4,000","4,600","4,400","6,600","6,100","7,200","6,700","7,400","8,400","8,300","8,000","9,900","13,500","14,100","15,000","16,100","16,700","21,100","23,500","24,600","27,200","26,000","30,000","29,600","31,300","31,600","33,100","36,900","38,400","36,400","40,500"
Males Aged 50-59 Years,"82,300","93,000","93,300","95,300","101,500","100,600","101,400","109,000","108,800","122,300","126,000","125,700","127,500","126,800","129,700","143,300","150,600","158,300","164,400","173,200","194,200","207,700","222,200","227,900","254,800","259,300","260,100","266,000","279,300","286,400","291,200","295,500","302,300","308,200","307,000","296,400","306,900"
        Single,"4,200","3,600","4,000","4,000","5,000","3,800","4,000","4,000","7,800","7,300","7,100","6,300","7,100","8,100","8,800","8,800","10,300","10,100","11,200","12,200","15,700","17,000","18,700","21,100","24,500","24,400","25,700","27,600","30,300","30,200","29,400","32,300","34,300","34,900","36,900","34,200","34,900"
        Married,"74,200","84,900","85,900","86,000","92,700","92,200","93,200","100,900","95,700","109,600","113,400","114,100","114,600","113,500","114,700","128,400","135,000","142,200","145,700","153,100","170,300","182,300","194,900","196,300","219,000","222,800","222,700","225,800","235,000","243,800","247,900","249,100","253,900","256,500","252,700","247,900","254,500"
        Widowed,"2,800","3,500","2,400","3,300","2,400","3,100","2,800","2,500","3,500","2,900","3,300","3,200","3,300","2,600","3,300","3,100","2,600","2,900","2,600","2,800","2,800","2,200","3,200","2,700","3,300","3,300","2,600","3,600","3,100","3,100","3,000","3,000","3,600","3,400","3,400","2,500","3,000"
        Divorced/Separated,"1,100",900,"1,100","2,000","1,400","1,400","1,400","1,600","1,700","2,500","2,300","2,300","2,500","2,600","3,000","3,000","2,700","3,100","4,900","5,000","5,500","6,100","5,500","7,700","8,000","8,900","9,100","9,100","10,900","9,300","10,900","11,100","10,500","13,400","14,000","11,900","14,500"
Females Aged 50-59 Years,"77,300","88,300","90,900","97,500","100,400","103,000","106,600","115,200","108,500","121,200","127,300","129,800","133,500","127,700","129,100","144,600","152,900","159,700","165,600","171,200","190,900","206,100","218,600","230,200","245,300","255,500","258,100","265,700","277,400","290,600","294,200","303,900","312,600","308,000","314,500","296,400","308,800"
        Single,"2,200","2,200","2,600","2,500","3,200","3,300","3,300","4,100","5,400","5,600","6,000","5,700","6,500","7,200","9,800","9,800","11,700","13,700","15,100","16,300","21,400","24,500","24,400","26,300","27,800","31,100","29,700","32,700","34,500","35,200","33,700","38,100","41,300","38,300","39,000","39,900","40,300"
        Married,"54,900","65,700","69,400","73,100","72,500","77,200","80,700","87,500","82,000","92,300","96,900","98,200","100,500","99,900","95,800","112,700","118,300","121,600","126,800","129,700","144,000","156,000","166,000","174,500","185,100","191,800","195,300","200,700","208,200","220,300","227,300","230,000","235,200","232,000","234,900","219,300","230,700"
        Widowed,"18,400","19,400","17,300","19,400","21,800","20,100","20,000","20,500","18,400","19,200","20,500","21,000","22,400","15,800","18,000","16,900","17,500","17,600","15,200","16,100","16,100","15,700","16,900","16,000","16,900","16,900","15,100","15,500","15,500","14,900","12,800","15,300","13,400","14,200","16,100","12,800","11,800"
        Divorced/Separated,"1,700","1,000","1,500","2,500","2,900","2,300","2,600","3,100","2,700","4,100","3,800","5,000","4,100","4,800","5,500","5,300","5,300","6,800","8,600","9,100","9,400","9,900","11,300","13,400","15,500","15,700","18,000","16,900","19,200","20,300","20,400","20,500","22,600","23,500","24,500","24,400","26,100"
Total Aged 60-69 Years,"106,900","112,700","112,700","117,600","121,200","124,100","128,600","138,200","142,500","149,200","156,400","162,800","167,600","176,000","174,400","179,700","185,300","198,800","198,300","208,400","220,800","236,600","234,400","223,500","250,000","262,000","277,400","302,000","310,000","333,800","357,100","381,900","426,100","433,900","464,900","473,800","481,400"
        Single,"4,900","3,800","3,600","3,800","3,800","3,200","3,600","4,300","6,400","5,100","6,200","6,100","6,500","6,900","8,100","7,700","7,900","9,500","9,800","10,100","11,000","13,200","13,300","12,900","16,400","17,500","19,000","20,400","23,400","24,100","30,200","32,700","38,900","39,500","46,500","47,100","50,700"
        Married,"70,400","78,500","81,600","83,300","84,900","87,900","89,500","96,400","97,000","105,100","107,400","117,400","116,600","128,700","122,700","131,500","135,800","141,300","147,900","152,400","165,900","174,100","174,200","170,300","189,500","196,100","210,000","232,300","235,900","259,900","274,300","291,500","328,200","331,200","351,700","358,000","364,400"
        Widowed,"30,200","29,700","26,500","28,800","30,900","30,800","33,400","35,100","37,400","36,200","40,000","36,400","41,500","37,400","40,500","38,000","38,400","43,500","35,000","39,700","37,900","41,700","39,000","32,600","35,100","37,200","36,800","35,400","36,600","32,600","34,000","37,400","36,700","40,500","42,400","43,000","38,900"
        Divorced/Separated,"1,300",700,"1,000","1,700","1,600","2,200","2,100","2,300","1,800","2,900","2,800","2,900","2,900","3,100","3,100","2,500","3,200","4,400","5,600","6,200","6,000","7,500","7,900","7,800","8,900","11,300","11,600","13,800","14,100","17,300","18,600","20,200","22,300","22,700","24,200","25,800","27,400"
Males Aged 60-69 Years,"52,500","56,800","55,100","57,900","59,400","61,500","62,800","65,900","70,200","74,100","77,200","79,500","81,600","84,800","84,700","86,800","88,700","94,200","95,100","99,100","105,900","112,200","112,600","107,200","120,100","126,000","133,900","144,800","150,900","164,900","174,500","189,100","208,500","211,600","229,100","229,900","235,400"
        Single,"2,400","2,200","1,700","2,000","2,100","2,000","2,000","2,400","4,200","2,800","4,200","3,800","3,900","4,300","4,900","4,200","4,300","4,600","5,100","4,900","5,700","5,900","6,300","6,000","7,300","7,300","9,200","8,200","10,000","9,800","12,500","13,000","14,800","15,900","17,600","19,200","20,000"
        Married,"44,500","49,700","49,300","50,700","51,600","54,400","55,100","57,600","58,300","64,000","65,200","69,900","70,000","74,000","71,500","76,100","77,100","81,300","83,000","86,600","92,100","97,400","98,600","94,100","104,900","108,200","116,000","125,300","130,300","144,300","150,800","162,700","179,800","180,800","193,300","193,500","197,900"
        Widowed,"5,100","4,600","3,800","4,500","4,900","4,100","4,900","5,200","6,900","6,300","6,700","4,600","6,500","5,300","6,800","5,400","6,300","6,400","4,800","5,400","5,900","6,000","4,900","4,300","5,100","6,500","5,000","5,800","5,600","5,000","4,600","6,200","6,300","6,800","8,700","8,000","8,100"
        Divorced/Separated,600,300,300,800,700,"1,000",800,700,700,"1,000","1,100","1,200","1,200","1,100","1,400","1,000","1,000","1,900","2,200","2,200","2,100","2,800","2,700","2,800","2,900","3,900","3,700","5,500","5,100","5,800","6,500","7,200","7,700","8,200","9,500","9,200","9,400"
Females Aged 60-69 Years,"54,300","55,900","57,600","59,700","61,800","62,600","65,800","72,300","72,300","75,100","79,200","83,400","86,000","91,200","89,800","92,900","96,500","104,500","103,100","109,300","114,900","124,500","121,800","116,300","129,900","136,000","143,500","157,200","159,100","168,900","182,700","192,800","217,600","222,300","235,800","243,900","246,000"
        Single,"2,500","1,600","1,900","1,800","1,600","1,200","1,600","1,900","2,100","2,300","2,100","2,300","2,500","2,600","3,200","3,600","3,600","4,900","4,700","5,100","5,400","7,300","7,000","6,900","9,100","10,100","9,800","12,200","13,400","14,300","17,700","19,800","24,100","23,600","28,800","27,900","30,700"
        Married,"26,000","28,800","32,200","32,600","33,400","33,500","34,300","38,800","38,700","41,100","42,200","47,500","46,600","54,600","51,100","55,400","58,700","60,000","64,900","65,800","73,700","76,700","75,500","76,200","84,600","87,900","94,000","107,000","105,600","115,600","123,500","128,800","148,400","150,400","158,400","164,400","166,600"
        Widowed,"25,100","25,100","22,600","24,300","26,000","26,600","28,500","30,000","30,500","29,800","33,300","31,900","35,100","32,100","33,700","32,500","32,000","37,200","30,100","34,300","32,000","35,700","34,100","28,300","30,100","30,600","31,900","29,700","31,100","27,500","29,400","31,200","30,400","33,800","33,800","35,000","30,900"
        Divorced/Separated,700,400,800,900,800,"1,200","1,300","1,700","1,000","1,900","1,700","1,700","1,800","2,000","1,700","1,500","2,200","2,500","3,400","4,000","3,800","4,800","5,200","5,000","6,100","7,400","7,900","8,300","9,000","11,500","12,000","13,000","14,600","14,500","14,700","16,600","17,900"
Total Aged 70 Years & Over,"63,500","72,200","77,800","79,100","84,300","83,000","81,600","89,100","104,300","102,100","103,400","108,400","110,900","121,200","125,800","126,700","140,400","143,600","143,700","155,100","163,000","175,900","177,700","180,800","202,300","205,700","206,600","227,500","230,500","249,300","256,700","267,000","291,700","281,300","293,900","335,400","334,800"
        Single,"3,300","2,700","2,900","2,900","3,300","2,300","2,300","2,800","4,600","2,900","3,100","3,400","3,800","3,700","2,900","3,400","4,200","4,600","3,900","5,000","5,500","5,800","6,500","5,600","6,900","6,800","7,100","7,900","9,300","9,800","11,200","11,500","13,600","12,800","13,000","15,800","18,100"
        Married,"27,000","33,700","39,600","39,700","40,100","39,400","39,300","41,100","46,600","46,500","47,100","52,000","50,500","57,100","58,300","61,800","69,600","65,800","72,700","70,700","76,800","84,100","85,300","95,600","104,000","103,700","108,800","123,600","120,400","133,700","141,700","150,900","167,200","149,700","165,100","192,700","196,700"
        Widowed,"32,800","35,700","34,900","35,900","40,200","40,600","39,400","44,500","52,400","51,300","52,100","51,900","55,000","59,300","63,000","60,300","64,500","71,300","65,300","77,100","78,500","82,800","82,500","76,300","86,700","90,900","86,000","91,100","95,200","99,200","96,200","97,500","102,400","108,300","106,900","116,500","109,500"
        Divorced/Separated,500,200,500,600,600,800,600,800,700,"1,400","1,000","1,200","1,600","1,200","1,700","1,300","2,000","1,900","1,900","2,300","2,200","3,300","3,400","3,300","4,700","4,300","4,700","4,900","5,600","6,600","7,700","7,100","8,500","10,500","8,900","10,400","10,500"
Males Aged 70 Years & Over,"27,100","31,200","32,900","35,200","36,100","35,200","35,700","37,800","44,500","43,100","44,000","49,300","48,000","51,400","54,300","52,600","59,800","62,800","60,500","63,900","69,200","75,100","73,400","75,800","86,000","85,400","89,300","98,300","97,200","106,200","110,900","114,500","126,300","120,100","123,800","146,300","143,400"
        Single,"1,300",900,"1,000","1,100","1,300","1,100",800,"1,000","2,100","1,200","1,200","1,700","2,000","2,000","1,700","1,700","2,200","2,200","2,000","1,700","2,500","3,000","3,300","2,800","3,000","3,100","3,500","3,300","4,500","4,300","4,400","4,800","5,300","5,000","5,300","5,900","6,400"
        Married,"19,100","23,400","25,800","26,800","27,600","26,800","27,200","28,000","30,800","32,000","32,000","36,500","35,400","38,700","40,200","39,500","44,700","46,200","46,500","48,200","52,000","56,100","56,000","59,200","67,100","65,500","70,000","77,100","75,800","83,300","86,700","91,800","101,500","93,800","98,600","116,500","115,900"
        Widowed,"6,400","6,700","5,900","7,100","6,800","7,000","7,500","8,500","11,300","9,300","10,200","10,500","10,100","10,200","11,500","10,800","11,900","13,600","11,200","13,000","13,700","14,900","12,900","12,400","14,300","15,200","14,100","16,200","14,800","16,400","16,900","15,500","16,500","18,000","16,700","20,300","17,900"
        Divorced/Separated,300,100,300,300,300,300,300,300,300,600,600,600,500,500,800,600,"1,000",900,700,"1,100","1,000","1,100","1,200","1,500","1,500","1,600","1,700","1,700","2,100","2,300","2,900","2,400","2,900","3,400","3,200","3,600","3,200"
Females Aged 70 Years & Over,"36,500","41,100","44,900","43,900","48,200","47,800","45,900","51,400","59,800","59,100","59,300","59,200","63,000","69,800","71,600","74,100","80,600","80,800","83,200","91,200","93,800","100,800","104,300","105,000","116,400","120,300","117,300","129,200","133,300","143,100","145,800","152,500","165,400","161,200","170,100","189,200","191,400"
        Single,"2,000","1,800","1,900","1,800","2,000","1,200","1,500","1,800","2,600","1,800","1,900","1,700","1,800","1,700","1,100","1,700","2,000","2,400","1,900","3,300","2,900","2,800","3,200","2,700","3,900","3,600","3,600","4,600","4,800","5,500","6,800","6,700","8,300","7,800","7,700","9,900","11,700"
        Married,"7,900","10,300","13,800","13,000","12,500","12,600","12,100","13,100","15,800","14,500","15,200","15,500","15,200","18,400","18,000","22,300","24,900","19,700","26,100","22,500","24,800","28,000","29,300","36,500","36,900","38,200","38,800","46,500","44,600","50,400","54,900","59,100","65,700","55,900","66,500","76,200","80,800"
        Widowed,"26,400","28,900","29,000","28,800","33,500","33,600","31,900","36,000","41,100","42,100","41,900","41,400","44,900","49,000","51,500","49,400","52,600","57,700","54,100","64,100","64,800","67,900","69,600","64,000","72,400","75,700","71,900","74,900","80,400","82,800","79,300","82,000","85,800","90,300","90,200","96,300","91,700"
        Divorced/Separated,200,0,200,300,300,500,300,500,400,700,500,600,"1,000",600,900,700,"1,000","1,000","1,100","1,300","1,200","2,200","2,200","1,800","3,200","2,800","2,900","3,200","3,500","4,300","4,800","4,700","5,600","7,100","5,700","6,800","7,200"



SOURCE: SINGAPORE DEPARTMENT OF STATISTICS




Generated by: SingStat Table Builder
Date generated: 23/03/2019
Contact: info@singstat.gov.sg 
